,Project Name,Address,City,State,Part 3 Approval,Total Project Costs,2010 Census Tract,Region
121,University Lofts (Scott A. Rogers Building),2020 Euclid Avenue,Cleveland,OH,2010-04-02,8350177.0,,Cleveland
122,University Lofts,2010 Euclid Avenue,Cleveland,OH,2010-04-02,1600202.0,,Cleveland
123,Capitol Theatre (Gordon Square Arcade),1400 West 65th Street,Cleveland,OH,2010-04-16,5852280.0,,Cleveland
124,Cogswell Hall,7200 Franklin Boulevard,Cleveland,OH,2010-04-16,4170569.0,,Cleveland
125,Union Gospel Press,2358-2412 West 7th Street,Cleveland,OH,2010-04-21,17658174.0,,Cleveland
126,Allerton Hotel,1802 East 13th Street,Cleveland,OH,2010-08-27,8905226.0,,Cleveland
127,The Atrium Building,"666-700 Euclid Avenue, 615-633 Prospect Avenue",Cleveland,OH,2010-11-23,55055275.0,,Cleveland
128,Terminal Tower,50 Public Square,Cleveland,OH,2010-12-21,46558367.0,,Cleveland
129,"Ford Motor Company Cleveland Plant, Cia - Mccollough Building",11610 Euclid Avenue,Cleveland,OH,2011-01-25,28414825.0,,Cleveland
130,Higbee Building,100 Public Square,Cleveland,OH,2011-02-17,44829620.0,,Cleveland
131,United Motor SErvice Building,4019 Prospect Avenue,Cleveland,OH,2011-02-24,5200000.0,,Cleveland
132,Central National Bank / United Office Building,2012 West 25th Street,Cleveland,OH,2011-02-24,11828442.0,,Cleveland
133,Baker Motor Vehicle Company Building,7100-7122 Euclid Avenue,Cleveland,OH,2011-02-24,6539343.0,,Cleveland
134,Shaker Square - Quad D,Shaker Blvd. At Moreland Blvd.,Cleveland,OH,2011-03-11,3250000.0,,Cleveland
135,Shaker Square - Quad C,Shaker Blvd. At Moreland,Cleveland,OH,2011-03-11,3250000.0,,Cleveland
136,Shaker Square - Quad B,Shaker Blvd At Moreland Blvd.,Cleveland,OH,2011-03-11,3250000.0,,Cleveland
137,Shaker Square - Quad A,Shaker Blvd. At Moreland Blvd.,Cleveland,OH,2011-03-11,3250000.0,,Cleveland
138,Cleveland Club / Tudor Arms,10660 Carnegie Avenue,Cleveland,OH,2011-08-22,20000000.0,,Cleveland
139,1341 East Boulevard,1341 East Boulevard,Cleveland,OH,2012-03-15,1465652.0,,Cleveland
140,Rockwell Building,1405 East Sixth Street,Cleveland,OH,2012-04-10,34000000.0,,Cleveland
141,Royal Furniture Company Building,1939 West 25th Street,Cleveland,OH,2012-05-09,3847174.0,,Cleveland
142,2038 East Fourth Street,2038 East Fourth Street,Cleveland,OH,2012-06-04,956000.0,,Cleveland
143,Kinney And Levan Building,1375 Euclid Avenue,Cleveland,OH,2012-06-29,50000000.0,,Cleveland
144,Doan School,1350 East 105th Street,Cleveland,OH,2012-08-09,9491000.0,,Cleveland
145,The Sylvia Building,6010 Franklin Boulevard,Cleveland,OH,2012-09-11,2091000.0,,Cleveland
146,The Union Building (University Plaza),1836 Euclid Avenue,Cleveland,OH,2013-03-01,15500000.0,,Cleveland
147,The Herman Building,2526 Market Avenue,Cleveland,OH,2013-03-08,855726.0,,Cleveland
148,Oppmann Terrace Building 5 Unit 113-116,11019 Detroit Avenue,Cleveland,OH,2013-04-19,2540000.0,,Cleveland
149,"Oppmann Terrace Building 4, Units 109-112",10119 Detroit Avenue,Cleveland,OH,2013-04-19,2540000.0,,Cleveland
150,"Oppmann Terrace Building 3, Units 93-108",10119 Detroit Avenue,Cleveland,OH,2013-04-19,2540000.0,,Cleveland
151,"Oppmann Terrace Building 2, Unit 69-92",10119 Detroit Avenue,Cleveland,OH,2013-04-19,2540000.0,,Cleveland
152,"Oppman Terrace Building 1, Unit 1-68",10119 Detroit Avenue,Cleveland,OH,2013-04-19,2540000.0,,Cleveland
153,Neal Terrace Unit 48,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
154,Neal Terrace Unit 46,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
155,Neal Terrace Unit 44,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
156,Neal Terrace Unit 42,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
157,Neal Terrace Unit 40,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
158,Neal Terrace Unit 38,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
159,Neal Terrace Unit 36,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
160,Neal Terrace Unit 34,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
161,Neal Terrace Unit 32,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
162,Neal Terrace Unit 30,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
163,Neal Terrace Unit 28,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
164,Neal Terrace Unit 26,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
165,Neal Terrace Unit 24,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
166,Neal Terrace Unit 22,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
167,Neal Terrace Unit 20,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
168,Neal Terrace Unit 18,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
169,Neal Terrace Unit 16,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
170,Neal Terrace Unit 14,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
171,Neal Terrace Unit 12,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
172,Neal Terrace Unit 10,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
173,Neal Terrace Unit 8,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
174,Neal Terrace Unit 6,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
175,Neal Terrace Unit 4,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
176,Neal Terrace Unit 2,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
177,Neal Terrace Unit 47,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
178,Neal Terrace Unit 45,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
179,Neal Terrace Unit 43,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
180,Neal Terrace Unit 41,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
181,Neal Terrace Unit 39,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
182,Neal Terrace Unit 37,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
183,Neal Terrace Unit 35,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
184,Neal Terrace Unit 33,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
185,Neal Terrace Unit 31,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
