,Project Name,Address,City,State,Part 3 Approval,Total Project Costs,2010 Census Tract,Region
517,Dr. Howard Philip Venable House,1904 Dick Gregory Place,St. Louis,MO,2011-12-15,432000.0,,St. Louis
518,1802 Dick Gregory Place,1802 Dick Gregory Place,St. Louis,MO,2011-12-15,447033.0,,St. Louis
519,1710 Dick Gregory Place,1710 Dick Gregory Place,St. Louis,MO,2011-12-15,437294.0,,St. Louis
520,1702 Dick Gregory Place,1702 Dick Gregory Place,St. Louis,MO,2011-12-15,456010.0,,St. Louis
521,1700 Dick Gregory Place,1700 Dick Gregory Place,St. Louis,MO,2011-12-15,510082.0,,St. Louis
522,1528 Dick Gregory Place,1528 Dick Gregory Place,St. Louis,MO,2011-12-15,520026.0,,St. Louis
523,Leather Trades Building,1600 Locust Street,St. Louis,MO,2011-12-22,18300000.0,,St. Louis
524,The Flora Building,3309-13 Meramec St.,St. Louis,MO,2012-01-05,141943.0,,St. Louis
525,Beaux Arts And Pythian Hall Complex,711 North Grand Boulevard,St. Louis,MO,2012-01-05,17282259.0,,St. Louis
526,Berkshire Apartments,5629 Enright Avenue,St. Louis,MO,2012-01-05,1276109.0,,St. Louis
527,St. Luke's Apartments,5628 Enright Avenue,St. Louis,MO,2012-01-05,1665564.0,,St. Louis
528,Enright Court Apartments,5621-25 Enright,St. Louis,MO,2012-01-05,1361127.0,,St. Louis
529,Dartmouth Apartments,5622 Enright Avenue,St. Louis,MO,2012-01-05,1425381.0,,St. Louis
530,Enright Apartments,5617 Enright Avenue,St. Louis,MO,2012-01-05,1439972.0,,St. Louis
531,Cornell Apartments,5616 Enright Avenue,St. Louis,MO,2012-01-05,1889753.0,,St. Louis
532,Barclay Apartments,5611 Enright Avenue,St. Louis,MO,2012-01-05,1424539.0,,St. Louis
533,Barnard Apartments,5610 Enright,St. Louis,MO,2012-01-05,1889753.0,,St. Louis
534,Amherst Apartments,5602 Enright Avenue,St. Louis,MO,2012-01-05,1889753.0,,St. Louis
535,Farm And Home Savings And Loan Association,1001 Locust,St. Louis,MO,2012-01-05,15700000.0,,St. Louis
536,4144 Chouteau Avenue,4144 Chouteau Avenue,St. Louis,MO,2012-01-12,461515.0,,St. Louis
537,3733 Ohio,3733 Ohio,St. Louis,MO,2012-01-12,74858.0,,St. Louis
538,The Pasadena,3952-58 S. Grand Blvd,St. Louis,MO,2012-01-12,725000.0,,St. Louis
539,1900 Dick Gregory Place,1900 Dick Gregory Place,St. Louis,MO,2012-01-23,473897.0,,St. Louis
540,1714 Dick Gregory Place,1714 Dick Gregory Place,St. Louis,MO,2012-01-23,555530.0,,St. Louis
541,The Argyle Building,10 Maryland Plaza,St. Louis,MO,2012-02-07,668750.0,,St. Louis
542,The Argyle Building,245 North Euclid,St. Louis,MO,2012-02-07,668750.0,,St. Louis
543,Argyle Building,237 N. Euclid,St. Louis,MO,2012-02-07,668750.0,,St. Louis
544,The Argyle Building,2-4-6 Maryland Plaza,St. Louis,MO,2012-02-07,668750.0,,St. Louis
545,757 Syracuse,757 Syracuse,St. Louis,MO,2012-02-08,854348.0,,St. Louis
546,2414-2416 Menard,2414-2416 Menard,St. Louis,MO,2012-02-21,16555000.0,,St. Louis
547,Lambert-Deacon-Hull Printing Company Building,2100 Locust Street,St. Louis,MO,2012-02-21,515743.0,,St. Louis
548,Coca-Cola Syrup Plant,8125 Michigan Avenue,St. Louis,MO,2012-02-21,29000000.0,,St. Louis
549,4314 Gibson Ave,4314 Gibson Ave,St. Louis,MO,2012-03-08,180000.0,,St. Louis
550,3500 Magnolia,3500 Magnolia,St. Louis,MO,2012-03-08,146519.0,,St. Louis
551,Cupples Station Building 8,1000-1010 Spruce Street,St. Louis,MO,2012-03-22,5892358.0,,St. Louis
552,2703 S. 9th Street,2703 S. 9th Street,St. Louis,MO,2012-04-03,193209.0,,St. Louis
553,Morgens Building,3407 Olive Street,St. Louis,MO,2012-04-05,12500341.0,,St. Louis
554,Rawhide Building,4229-31 Manchester Avenue,St. Louis,MO,2012-04-12,1100000.0,,St. Louis
555,Gus' Pretzels,1820 Arsenal Street,St. Louis,MO,2012-04-17,130265.0,,St. Louis
556,4059 Shenandoah,4059 Shenandoah,St. Louis,MO,2012-04-26,147722.0,,St. Louis
557,Velie Motor Building,3021-23 Locust,St. Louis,MO,2012-05-09,410000.0,,St. Louis
558,Sylva Building,5798 Pershing Avenue,St. Louis,MO,2012-05-30,569000.0,,St. Louis
559,St. Louis Post-Dispatch Printing Building,1111 Olive St.,St. Louis,MO,2012-06-01,19527000.0,,St. Louis
560,Chase Apartments,4931 Lindell Avenue,St. Louis,MO,2012-07-10,7904719.0,,St. Louis
561,Blind Girls' Home,5235 Page Boulevard,St. Louis,MO,2012-07-24,4643589.0,,St. Louis
562,Mcelroy-Sloan Shoe Company Building,2035 Washington Avenue,St. Louis,MO,2012-07-31,3400000.0,,St. Louis
563,Knickerbocker Building,1308-1310 Washington Avenue,St. Louis,MO,2012-08-08,8700000.0,,St. Louis
564,Falstaff Brewing Corporation Plant No. 1,"3674-84, 3690 Forest Park Ave.",St. Louis,MO,2012-08-21,950000.0,,St. Louis
565,3800-10 Shenandoah And 2301 Spring,3800-10 Shenandoah And 2301 Spring,St. Louis,MO,2012-09-13,813522.0,,St. Louis
566,William A. Stickney Cigar Company Building,209 North Fourth Street,St. Louis,MO,2012-10-04,2596914.0,,St. Louis
567,3618-20 Hartford,3618-20 Hartford,St. Louis,MO,2012-10-07,191746.0,,St. Louis
568,4557 Flad,4557 Flad,St. Louis,MO,2013-01-14,180000.0,,St. Louis
569,The Alberta Apartments,3453-3459 Crittenden And 2914-16 Arkansas,St. Louis,MO,2013-01-15,650000.0,,St. Louis
570,Council Plaza Tower East,310 S. Grand,St. Louis,MO,2013-01-17,36291208.0,,St. Louis
571,1207 Sidney,1207 Sidney,St. Louis,MO,2013-01-28,338197.88,,St. Louis
572,4432 Olive,4432 Olive,St. Louis,MO,2013-01-29,1100000.0,,St. Louis
573,More Automotive Company Building,2801 Locust Street,St. Louis,MO,2013-02-01,7500000.0,,St. Louis
574,Overland Automotive Company Building,2309 Locust St,St. Louis,MO,2013-02-01,693899.0,,St. Louis
575,Hamilton Place Apartments,956 Hamilton Avenue,St. Louis,MO,2013-02-28,5800323.0,,St. Louis
576,2800 Shenandoah,2800 Shenandoah,St. Louis,MO,2013-03-04,255772.0,,St. Louis
577,Metropolitan Building,500N. Grand Boulevard,St. Louis,MO,2013-03-04,18000000.0,,St. Louis
578,St. Louis Stamping Company Buildings (Bldg 1),101-217 Cass,St. Louis,MO,2013-04-08,85000000.0,,St. Louis
579,2303 Shenandoah,2303 Shenandoah,St. Louis,MO,2013-04-09,317000.0,,St. Louis
580,Arlington School,1617 Burd,St. Louis,MO,2013-04-19,8294166.0,,St. Louis
581,4501-4503 Wichita Avenue,4501-4503 Wichita Avenue,St. Louis,MO,2013-05-09,220000.0,,St. Louis
582,Physician's Office Building,462 N. Taylor,St. Louis,MO,2013-05-31,1100000.0,,St. Louis
583,3905-07 Castleman,3905-07 Castleman,St. Louis,MO,2013-06-01,174260.0,,St. Louis
584,Missouri Pacific Building,210 N. 13th Street,St. Louis,MO,2013-06-04,78254324.0,,St. Louis
585,4260 Mcree Avenue,4260 Mcree Avenue,St. Louis,MO,2013-06-05,340420.0,,St. Louis
586,4266 Mcree Avenue,4266 Mcree Avenue,St. Louis,MO,2013-06-05,187122.0,,St. Louis
587,1618 Tower Grove,1618-1622 Tower Grove,St. Louis,MO,2013-06-05,3894708.0,,St. Louis
588,3339-41 Missouri And 3343 Missouri Houses,3339-41 Missouri And 3343 Missouri Houses,St. Louis,MO,2013-07-08,310526.0,,St. Louis
589,King's I Restaurant,3151-57 South Grand Avenue,St. Louis,MO,2013-08-09,428363.0,,St. Louis
590,Affton High School,5820 Mackenzie Road,St. Louis,MO,2013-08-12,4780909.0,,St. Louis
591,Ralph Waldo Emerson Elementary School,5415 Page Blvd.,St. Louis,MO,2013-08-12,9847684.0,,St. Louis
592,Athena Building,2867-71 Shenandoah Ave. & 2254-56 39th Street,St. Louis,MO,2013-08-29,650000.0,,St. Louis
593,4253 Russell Boulevard,4253 Russell Boulevard,St. Louis,MO,2013-09-09,124871.0,,St. Louis
594,4251 Russell Boulevard,4251 Russell Boulevard,St. Louis,MO,2013-09-09,124871.0,,St. Louis
595,3024 Locust Street,3024 Locust Street,St. Louis,MO,2013-09-29,330000.0,,St. Louis
596,"Cupples Station, Building 9",900-910 Spruce Street,St. Louis,MO,2013-09-30,25000000.0,,St. Louis
597,Medart's,7036 Clayton,St. Louis,MO,2013-09-30,10300000.0,,St. Louis
598,1927 Destrehan Street,1927 Destrehan Street,St. Louis,MO,2013-09-30,308999.0,,St. Louis
599,1929 Destrehan Street,1929 Destrehan Street,St. Louis,MO,2013-09-30,308999.0,,St. Louis
600,1510 NEwhouse Avenue,1510 NEwhouse Avenue,St. Louis,MO,2013-09-30,189157.0,,St. Louis
601,2018-20 Mallinckrodt Street,2018-20 Mallinckrodt Street,St. Louis,MO,2013-09-30,689517.0,,St. Louis
602,1905 Destrehan Street,1905 Destrehan Street,St. Louis,MO,2013-09-30,432332.0,,St. Louis
603,1913 Destrehan Street,1913 Destrehan Street,St. Louis,MO,2013-09-30,325761.0,,St. Louis
604,1931 Destrehan Street,1931 Destrehan Street,St. Louis,MO,2013-09-30,308999.0,,St. Louis
605,1904 Garden Street,1904 Garden Street,St. Louis,MO,2013-09-30,325966.0,,St. Louis
606,1435 Salisbury Street,1435 Salisbury Street,St. Louis,MO,2013-09-30,2506461.0,,St. Louis
607,1529 Mallinckrodt Street,1529 Mallinckrodt Street,St. Louis,MO,2013-09-30,735064.0,,St. Louis
608,2009 Mallinckrodt Street,2009 Mallinckrodt Street,St. Louis,MO,2013-09-30,296692.0,,St. Louis
609,2014 Mallinckrodt Street,2014 Mallinckrodt Street,St. Louis,MO,2013-09-30,429821.0,,St. Louis
610,1915 Destrehan Street,1915 Destrehan Street,St. Louis,MO,2013-10-23,237380.0,,St. Louis
611,1415 Destrehan Street,1415 Destrehan Street,St. Louis,MO,2013-10-28,200112.0,,St. Louis
612,3617 Blair Avenue,3617 Blair Avenue,St. Louis,MO,2013-10-28,386349.0,,St. Louis
613,2022-24 Mallinckrodt Street,2022-24 Mallinckrodt Street,St. Louis,MO,2013-10-28,751760.0,,St. Louis
614,1523-25 Mallinckrodt Street,1523-25 Mallinckrodt Street,St. Louis,MO,2013-10-28,698781.0,,St. Louis
615,1413-15 Destrehan Street,1413-15 Destrehan Street,St. Louis,MO,2013-10-28,200112.0,,St. Louis
616,3834 N. 25th Street,3834 N. 25th Street,St. Louis,MO,2013-10-28,482300.0,,St. Louis
617,3836 N. 25th Street,3836 N. 25th Street,St. Louis,MO,2013-10-28,321534.0,,St. Louis
618,3615-17 Blair Avenue,3615-17 Blair Avenue,St. Louis,MO,2013-10-28,386349.0,,St. Louis
619,1426 Mallinckrodt Street,1426 Mallinckrodt Street,St. Louis,MO,2013-10-29,70811.0,,St. Louis
620,1426 Mallinckrodt Street,1426 Mallinckrodt Street,St. Louis,MO,2013-10-29,175891.0,,St. Louis
621,1424 Mallinckrodt Street,1424 Mallinckrodt Street,St. Louis,MO,2013-10-29,151049.0,,St. Louis
622,1417 Destrehan Street,1417 Destrehan Street,St. Louis,MO,2013-10-29,587456.0,,St. Louis
623,3928 North 21st Street,3928 North 21st Street,St. Louis,MO,2013-10-29,413428.0,,St. Louis
624,1411 Destrehan Street,1411 Destrehan Street,St. Louis,MO,2013-10-29,234301.0,,St. Louis
625,1409 Destrehan Street,1409 Destrehan Street,St. Louis,MO,2013-10-29,381128.0,,St. Louis
626,1426-28 Salisbury Street,1426-28 Salisbury Street,St. Louis,MO,2013-10-29,969911.0,,St. Louis
627,2026-28 Mallinckrodt Street,2026-28 Mallinckrodt Street,St. Louis,MO,2013-11-04,685206.0,,St. Louis
628,Glouster Building,5867 Nina Place,St. Louis,MO,2013-11-22,541236.0,,St. Louis
629,6053 Clemens,6053 Clemens,St. Louis,MO,2013-11-25,105019.0,,St. Louis
630,6372-76 Delmar Commercial Building,6372-76 Delmar,St. Louis,MO,2013-11-25,659159.0,,St. Louis
631,Minerva Place Apartments,1342 Montclair Avenue,St. Louis,MO,2013-11-27,3656129.0,,St. Louis
632,The Gotham Apartments,5900-04 Enright Avenue,St. Louis,MO,2013-12-04,8805430.0,,St. Louis
633,5561-5571 Chamberlain,5561-5571 Chamberlain,St. Louis,MO,2014-01-28,629740.0,,St. Louis
634,Convent Garden Apartments,4497 Pershing Ave,St. Louis,MO,2014-02-20,2983404.0,,St. Louis
635,Loop Center South,6108-6120 Delmar Blvd,St. Louis,MO,2014-02-25,1335601.0,,St. Louis
636,2325 Ann,2325 Ann,St. Louis,MO,2014-03-18,261431.0,,St. Louis
637,20 Plaza Square,20 Plaza Square,St. Louis,MO,2014-03-26,3729710.0,,St. Louis
638,4239 Norfolk,4239 Norfolk,St. Louis,MO,2014-03-28,180000.0,,St. Louis
639,1119-1121 Tower Grove,1119-1121 Tower Grove,St. Louis,MO,2014-03-28,587000.0,,St. Louis
640,Mcnair Four Family House,2621-23 Mcnair Avenue,St. Louis,MO,2014-04-23,394980.0,,St. Louis
641,1115-17 Tower Grove Four-Family Flat,1115-17 Tower Grove Four-Family Flat,St. Louis,MO,2014-04-23,391000.0,,St. Louis
642,1001-03-05 Ann,1001-03-05 Ann,St. Louis,MO,2014-04-23,610000.0,,St. Louis
643,Lacassian Laboratories,2200 Locust,St. Louis,MO,2014-04-24,3756403.0,,St. Louis
644,4184 Manchester Avenue,4184 Manchester Avenue,St.Louis,MO,2014-04-25,401791.0,,St. Louis
645,Thurman Station,2232 Thurman Avenue,St. Louis,MO,2014-05-13,149680.0,,St. Louis
646,4202 Chouteau Avenue,4202 Chouteau Avenue,St. Louis,MO,2014-05-27,365000.0,,St. Louis
647,4180 Manchester Ave.,4180 Manchester Ave.,St. Louis,MO,2014-06-06,133502.0,,St. Louis
648,Central States Life Insurance Company,3207 Washington Boulevard,St. Louis,MO,2014-06-12,2989261.0,,St. Louis
649,4527 Oakland Avenue,4527 Oakland Avenue,St. Louis,MO,2014-06-16,724345.0,,St. Louis
650,4207 Arco Ave,4207 Arco Ave,St. Louis,MO,2014-06-18,159039.0,,St. Louis
651,3223 Magnolia,3223 Magnolia,St. Louis,MO,2014-06-26,94127.0,,St. Louis
652,Hadley Dean Building,1101 Lucas,St. Louis,MO,2014-07-01,3243527.0,,St. Louis
653,Sun Theatre,3625-33 Grandell Square,St. Louis,MO,2014-07-11,9250000.0,,St. Louis
654,Pfeiffer Manufacturing Building,3965 Laclede,St. Louis,MO,2014-08-07,8620000.0,,St. Louis
655,Chouteau Trust Building,4028-4030 Chouteau And 1029 Vandeventer,St. Louis,MO,2014-08-18,716228.0,,St. Louis
656,2710-2712 Lafayette Avenue,2710-2712 Lafayette Avenue,St. Louis,MO,2014-08-20,555844.0,,St. Louis
657,4337-39 SWan Avenue,4337-39 SWan Avenue,St. Louis,MO,2014-08-25,120000.0,,St. Louis
658,Old Laclede Gas & Light Company Building,1017 Olive Street,St. Louis,MO,2014-09-10,6401722.0,,St. Louis
659,3825 Ohio Avenue,3825 Ohio Avenue,St. Louis,MO,2014-10-03,30050.0,,St. Louis
660,4341-4343 SWan Avenue,4341-4343 SWan Avenue,St. Louis,MO,2014-10-13,120000.0,,St. Louis
661,2051 Maury Avenue,2051 Maury Avenue,St. Louis,MO,2014-11-06,815738.0,,St. Louis
